max_size	None
min_freq	None
unknown	<unk>
padding	<pad>
rebuild	False

安	49	203	0
跪	1	1294	0
开	43	237	0
始	21	396	0
可	100	110	0
接	34	277	0
其	39	249	0
热	9	605	0
网	26	331	0
切	5	809	0
勿	1	1295	0
打	34	278	0
扰	1	1296	0
撤	15	486	0
离	23	367	0
十	95	117	0
官	10	575	0
失	58	170	0
比	17	462	0
较	23	368	0
彻	4	876	0
未	25	345	0
眠	2	1094	0
力	43	238	0
己	8	644	0
想	10	576	0
办	10	577	0
法	52	190	0
但	26	332	0
那	50	197	0
些	12	542	0
剩	5	810	0
们	112	98	0
怎	11	556	0
么	20	405	0
朱	5	811	0
珠	10	578	0
峰	8	645	0
排	46	217	0
赵	13	520	0
女	49	204	0
描	19	423	0
述	19	424	0
行	45	223	0
动	34	279	0
便	36	266	0
瘫	6	738	0
痪	4	877	0
停	107	104	0
试	2	1095	0
通	64	160	0
今	26	333	0
王	42	239	0
周	29	308	0
落	5	812	0
差	9	606	0
层	44	228	0
也	53	185	0
洛	7	687	0
阳	30	300	0
送	44	229	0
金	33	282	0
穗	1	1297	0
道	126	88	0
公	32	290	0
段	11	557	0
积	21	397	0
牌	7	688	0
冲	41	241	0
掉	1	1298	0
最	37	259	0
锋	24	359	0
舟	23	369	0
走	30	301	0
因	27	322	0
为	27	323	0
吃	52	191	0
恳	7	689	0
尽	18	439	0
得	16	476	0
西	87	129	0
街	65	156	0
与	28	314	0
学	91	126	0
校	33	283	0
路	203	54	0
向	18	440	0
同	60	167	0
原	33	284	0
梯	3	960	0
先	13	521	0
样	12	543	0
观	2	1096	0
澜	1	1299	0
详	14	503	0
细	12	544	0
容	15	487	0
带	32	291	0
着	34	280	0
每	2	1097	0
爬	1	1300	0
越	19	425	0
扛	5	813	0
疗	6	739	0
投	10	579	0
湖	39	250	0
彩	8	646	0
虹	7	690	0
真	23	370	0
外	56	174	0
支	74	143	0
麻	17	463	0
战	10	580	0
应	30	302	0
非	22	385	0
常	23	371	0
好	53	186	0
毅	1	1301	0
雨	50	198	0
核	96	114	0
实	111	99	0
间	53	187	0
仍	22	386	0
狮	8	647	0
豹	9	607	0
长	26	334	0
体	47	214	0
毁	6	740	0
唯	2	1098	0
出	94	119	0
山	49	205	0
络	4	878	0
底	6	741	0
从	34	281	0
任	13	522	0
何	16	477	0
消	30	303	0
留	12	545	0
守	8	648	0
迫	3	961	0
级	5	814	0
领	8	649	0
导	9	608	0
者	78	140	0
增	6	742	0
愿	54	180	0
建	15	488	0
总	3	962	0
港	5	815	0
f	4	879	0
座	10	581	0
募	8	650	0
捐	17	464	0
喝	20	406	0
充	11	558	0
垃	6	743	0
圾	6	744	0
袋	35	272	0
t	2	1099	0
恤	3	963	0
胶	9	609	0
密	6	745	0
封	5	816	0
灯	11	559	0
赠	13	523	0
聚	1	1302	0
集	10	582	0
然	7	691	0
之	20	407	0
旅	2	1100	0
帝	4	880	0
台	17	465	0
硬	1	1303	0
质	7	692	0
拉	12	546	0
并	8	651	0
且	15	489	0
域	7	693	0
跟	7	694	0
溪	2	1101	0
邸	3	964	0
牟	27	324	0
芦	9	610	0
庙	28	315	0
御	2	1102	0
国	21	398	0
际	5	817	0
知	71	145	0
名	66	154	0
叫	3	965	0
郭	7	695	0
松	2	1103	0
微	7	696	0
哥	8	652	0
暴	13	524	0
农	9	611	0
田	5	818	0
问	7	697	0
津	2	1104	0
状	22	387	0
受	56	175	0
皆	2	1105	0
死	3	966	0
亡	3	967	0
达	26	335	0
房	69	149	0
严	55	178	0
重	81	137	0
乏	9	612	0
装	27	325	0
土	11	560	0
堆	1	1304	0
奈	1	1305	0
垮	1	1306	0
阶	4	881	0
概	15	490	0
吧	8	653	0
载	2	1106	0
峪	9	613	0
渔	3	968	0
日	44	230	0
源	14	504	0
稳	20	408	0
定	25	346	0
该	6	746	0
丧	1	1307	0
对	52	192	0
希	50	199	0
够	16	478	0
施	2	1107	0
让	17	466	0
优	5	819	0
糟	5	820	0
糕	5	821	0
漫	13	525	0
相	15	491	0
互	4	882	0
告	33	285	0
伍	14	505	0
驰	5	822	0
艺	2	1108	0
或	25	347	0
管	27	326	0
理	15	492	0
统	4	883	0
调	7	698	0
配	12	547	0
宋	4	884	0
荣	3	969	0
杰	1	1308	0
馆	11	561	0
二	124	90	0
七	23	372	0
立	5	823	0
张	31	297	0
仲	1	1309	0
景	16	479	0
诊	1	1310	0
当	14	506	0
贾	12	548	0
鲁	9	614	0
阜	8	654	0
华	17	467	0
血	9	615	0
畅	5	824	0
品	52	193	0
期	13	526	0
条	26	336	0
件	20	409	0
爱	16	480	0
团	8	655	0
饭	23	373	0
结	3	970	0
师	24	360	0
患	9	616	0
护	17	468	0
马	46	218	0
坊	18	441	0
胞	6	747	0
·	15	493	0
获	7	699	0
嘉	14	507	0
世	7	700	0
青	17	469	0
蓝	9	617	0
活	25	348	0
靠	5	825	0
份	3	971	0
绵	1	1311	0
薄	2	1109	0
扩	23	374	0
据	6	748	0
挥	10	583	0
更	16	481	0
作	17	470	0
负	15	494	0
责	9	618	0
险	19	426	0
务	9	619	0
六	21	399	0
背	3	972	0
裤	6	749	0
袜	2	1110	0
展	3	973	0
永	6	750	0
秘	1	1312	0
书	8	656	0
李	20	410	0
莹	2	1111	0
沙	49	206	0
四	59	169	0
型	20	411	0
库	39	251	0
连	9	620	0
崩	3	974	0
塌	25	349	0
围	18	442	0
易	3	975	0
事	13	527	0
故	2	1112	0
均	7	701	0
代	3	976	0
表	4	885	0
就	38	256	0
圣	1	1313	0
脚	8	657	0
损	10	584	0
甥	2	1113	0
烧	10	585	0
窄	1	1314	0
保	20	412	0
健	7	702	0
科	15	495	0
室	22	388	0
布	18	443	0
鞋	17	471	0
-	36	267	0
男	22	389	0
勇	7	703	0
湿	3	977	0
透	5	826	0
穿	6	751	0
拖	11	562	0
干	15	496	0
谁	15	497	0
诉	2	1114	0
址	31	298	0
光	11	563	0
酒	13	528	0
店	37	260	0
琥	1	1315	0
珀	1	1316	0
次	15	498	0
分	48	209	0
她	17	472	0
说	14	508	0
迷	2	1115	0
持	20	413	0
第	46	219	0
属	28	316	0
吸	5	827	0
倩	2	1116	0
船	19	427	0
螺	3	978	0
旋	2	1117	0
桨	2	1118	0
雅	6	752	0
哈	4	886	0
匹	3	979	0
短	14	509	0
轴	1	1317	0
程	10	586	0
寸	1	1318	0
罩	3	980	0
照	8	658	0
强	4	887	0
补	4	888	0
粘	1	1319	0
破	2	1119	0
熟	4	889	0
盒	2	1120	0
帐	18	444	0
篷	15	499	0
指	10	587	0
环	23	375	0
&	1	1320	0
翔	8	659	0
融	7	704	0
智	7	705	0
谷	7	706	0
万	36	268	0
火	25	350	0
肠	3	981	0
包	12	549	0
牛	8	660	0
齐	3	982	0
江	3	983	0
脖	8	661	0
石	20	414	0
坚	7	707	0
渭	2	1121	0
、	35	273	0
态	18	445	0
m	14	510	0
徐	6	753	0
余	8	662	0
淌	3	984	0
感	19	428	0
沟	32	292	0
泵	24	361	0
扶	5	828	0
明	28	317	0
零	1	1321	0
油	37	261	0
汽	20	415	0
柴	10	588	0
毒	7	708	0
药	32	293	0
冒	3	985	0
泻	1	1322	0
祛	1	1323	0
暑	2	1122	0
晒	1	1324	0
影	5	829	0
响	6	754	0
使	6	755	0
耗	3	986	0
坏	5	830	0
修	4	890	0
散	21	400	0
广	14	511	0
汇	3	987	0
p	4	891	0
a	9	621	0
找	19	429	0
退	14	512	0
军	9	622	0
筒	7	709	0
捷	2	1123	0
瓦	1	1325	0
纪	4	892	0
抽	40	245	0
技	8	663	0
确	8	664	0
认	5	831	0
象	13	529	0
片	8	665	0
居	44	231	0
乐	16	482	0
花	23	376	0
尚	4	893	0
秀	7	710	0
紫	5	832	0
藤	2	1124	0
众	26	337	0
供	25	351	0
而	6	756	0
升	15	500	0
桶	4	894	0
范	5	833	0
措	1	1326	0
储	3	988	0
批	11	564	0
v	3	989	0
x	3	990	0
n	6	757	0
i	4	895	0
_	1	1327	0
l	2	1125	0
s	5	834	0
卜	1	1328	0
康	11	565	0
木	6	758	0
势	13	530	0
低	9	623	0
脱	3	991	0
晕	4	896	0
白	28	318	0
圆	3	992	0
满	14	513	0
提	18	446	0
宿	12	550	0
吗	24	362	0
休	5	835	0
虚	6	759	0
邮	2	1126	0
速	24	363	0
递	2	1127	0
商	26	338	0
仓	13	531	0
匮	2	1128	0
放	11	566	0
货	19	430	0
意	12	551	0
测	1	1329	0
